isolabel_ext,synonym
BR-AL-CampoAlegre,br;alagoas;campo.alegre
BR-AL-CampoAlegre,br-al-clr
BR-AL-CampoAlegre,br;al;campo.alegre
BR-AL-CampoAlegre,br;al;clr
BR-AL-CampoAlegre,co-a-clr
BR-AL-CampoAlegre,br-2701407
BR-AL-CampoGrande,br;al;cgn
BR-AL-CampoGrande,br-al-cgn
BR-AL-CampoGrande,br;alagoas;campo.grande
BR-AL-CampoGrande,br;al;campo.grande
BR-AL-CampoGrande,br-2701506
BR-AL-CampoGrande,co-a-cgn
BR-AL-Canapi,br;al;cnk
BR-AL-Canapi,br-2701605
BR-AL-Canapi,br;alagoas;canapi
BR-AL-Canapi,br-al-cnk
BR-AL-Canapi,co-a-cnk
BR-AL-Canapi,br-canapi
BR-AL-Canapi,br;al;canapi
BR-AL-Capela,br;al;capela
BR-AL-Capela,br-al-cpa
BR-AL-Capela,br;al;cpa
BR-AL-Capela,br;alagoas;capela
BR-AL-Capela,br-2701704
BR-AL-Carneiros,br-carneiros
BR-AL-Carneiros,br-2701803
BR-AL-Carneiros,br;al;ckn
BR-AL-Carneiros,br;al;carneiros
BR-AL-Carneiros,br;alagoas;carneiros
BR-AL-Carneiros,br-al-ckn
BR-AL-Carneiros,co-a-ckn
BR-AL-ChaPreta,br-2701902
BR-AL-ChaPreta,br-al-chk
BR-AL-ChaPreta,co-a-chk
BR-AL-ChaPreta,br;alagoas;cha.preta
BR-AL-ChaPreta,br-chapreta
BR-AL-ChaPreta,br;al;chk
BR-AL-ChaPreta,br;al;cha.preta
BR-AL-CoiteNoia,br-2702009
BR-AL-CoiteNoia,br-coitenoia
BR-AL-CoiteNoia,br;al;coite.noia
BR-AL-CoiteNoia,br;al;cyo
BR-AL-CoiteNoia,co-a-cyo
BR-AL-CoiteNoia,br;alagoas;coite.noia
BR-AL-CoiteNoia,br-al-cyo
BR-AL-ColoniaLeopoldina,br-al-col
BR-AL-ColoniaLeopoldina,br-2702108
BR-AL-ColoniaLeopoldina,br-colonialeopoldina
BR-AL-ColoniaLeopoldina,br;alagoas;colonia.leopoldina
BR-AL-ColoniaLeopoldina,br;al;col
BR-AL-ColoniaLeopoldina,br;al;colonia.leopoldina
BR-AL-CoqueiroSeco,br-2702207
BR-AL-CoqueiroSeco,br;alagoas;coqueiro.seco
BR-AL-CoqueiroSeco,br-coqueiroseco
BR-AL-CoqueiroSeco,br;al;coqueiro.seco
BR-AL-Coruripe,br-coruripe
BR-AL-Coruripe,br-2702306
BR-AL-Coruripe,co-a-cui
BR-AL-Coruripe,br;al;cui
BR-AL-Coruripe,br-al-cui
BR-AL-Coruripe,br;al;coruripe
BR-AL-Coruripe,br;alagoas;coruripe
BR-AL-Craibas,br;al;kis
BR-AL-Craibas,br;al;craibas
BR-AL-Craibas,br-al-kis
BR-AL-Craibas,br-2702355
BR-AL-Craibas,br-craibas
BR-AL-Craibas,br;alagoas;craibas
BR-AL-Craibas,co-a-kis
BR-AL-DelmiroGouveia,br;al;delmiro.gouveia
BR-AL-DelmiroGouveia,br-al-dga
BR-AL-DelmiroGouveia,co-a-dga
BR-AL-DelmiroGouveia,br-delmirogouveia
BR-AL-DelmiroGouveia,br;al;dga
BR-AL-DelmiroGouveia,br;alagoas;delmiro.gouveia
BR-AL-DelmiroGouveia,br-2702405
BR-AL-DoisRiachos,co-a-dsh
BR-AL-DoisRiachos,br;al;dois.riachos
BR-AL-DoisRiachos,br-2702504
BR-AL-DoisRiachos,br;alagoas;dois.riachos
BR-AL-DoisRiachos,br-al-dsh
BR-AL-DoisRiachos,br;al;dsh
BR-AL-DoisRiachos,br-doisriachos
BR-AL-EstrelaAlagoas,br;al;eal
BR-AL-EstrelaAlagoas,br-estrelaalagoas
BR-AL-EstrelaAlagoas,br;alagoas;estrela.alagoas
BR-AL-EstrelaAlagoas,br-2702553
BR-AL-EstrelaAlagoas,br;al;estrela.alagoas
BR-AL-EstrelaAlagoas,br-al-eal
BR-AL-EstrelaAlagoas,co-a-eal
BR-AL-FeiraGrande,br-2702603
BR-AL-FeiraGrande,br-feiragrande
BR-AL-FeiraGrande,br;al;feira.grande
BR-AL-FeiraGrande,co-a-fge
BR-AL-FeiraGrande,br;al;fge
BR-AL-FeiraGrande,br-al-fge
BR-AL-FeiraGrande,br;alagoas;feira.grande
BR-AL-FelizDeserto,br;al;feliz.deserto
BR-AL-FelizDeserto,br;al;fzo
BR-AL-FelizDeserto,br;alagoas;feliz.deserto
BR-AL-FelizDeserto,br-2702702
BR-AL-FelizDeserto,br-felizdeserto
BR-AL-FelizDeserto,co-a-fzo
BR-AL-FelizDeserto,br-al-fzo
BR-AL-Flexeiras,br-al-fxs
BR-AL-Flexeiras,br-flexeiras
