isolabel_ext,status,cover,overlay
BR-AL-SaoJoseTapera,0,7737p 7737s 7737t 7737y 7737z 773dj 773dk 773dn 773dp 7760t 7760y 7760z 7761s 7761t 7761y 7762j 7762k 7762n 7762p 7762s 7762t 7762y 7762z 7763j 7763k 7763n 7763p 7763s 7768j,
BR-AL-SaoLuisQuitunde,0,8232t 8232y 8233t 8233y 8238j 8238k 8238n 8238p 8238s 8238t 8238y 8238z 8239j 8239k 8239n 8239p 8239s 8239t 823aj 823ak 823an 823ap 823as 823az 823bj 823bk,
BR-AL-SaoMiguelCampos,0,8209p 8209s 8209t 8209y 8209z 820an 820ap 820az 820bj 820bk 820bn 820bp 820bs 820by 820bz 820ct 820ej 820ek 820es 820et,
BR-AL-SaoMiguelMilagres,0,8239y 8239z 823ck 823cp 823cs 823ct 823cy 823cz,
BR-AL-SaoSebastiao,0,7753y 7753z 7756p 7756s 7756t 7756y 7756z 7757s 7757t 7759n 775cj 775ck 775cn 775cp 775cs 775ct 775cy 775cz 775dj 775dk,
BR-AL-Satuba,0,8225j 8225k 8225p 8225s 8225y 8225z,
BR-AL-SenadorRuiPalmeira,0,773dk 773dn 773dp 773dy 773dz 773fn 7762t 7762y 7768j 7768k 7768n 7768p 7768s 7768t 7768y 7768z 7769j 7769k 7769n 7769s 776aj,
BR-AL-TanqueArca,0,7775k 7775n 7775p 7775s 7775t 7775y 7775z 7777j 7777k 7777n,
BR-AL-Taquarana,0,775ey 7774n 7774p 7774y 7774z 7775j 7775k 7775n 7775p 7775s 7776n,
BR-AL-TeotonioVilela,0,7756y 7756z 7757s 7757t 7757y 7757z 775cn 775dj 775dk 775dn 775dp 775ds 775dz 8202s 8202t 8208j 8208k 8208s,
BR-AL-Traipu,0,774m 774v 775h 775r 776m 777h,
BR-AL-UniaoPalmares,0,822bj 822bk 822bn 822bp 822by 822bz 822ej 822ek 822en 822ep 822es 822et 822ey 822ez 822fk 822fs 822ft 8281n 8284j 8284n 8284p 8285j,
BR-AL-Vicosa,0,7777y 7777z 777dn 777dp 8222k 8222p 8222s 8222t 8222y 8222z 8223s 8223t 8228j 8228k 8228n 8228p 8228s 8228y 8228z 8229j 8229k 8229s 8229t 822bj,
BR-AM-Alvaraes,0,055m 100h 100m 100r 100v 4fcv 4fdr 4fem 4ffh 4ffm 4ffr 4ffv 5aah 5aar,
BR-AM-Amatura,0,044h 044m 044r 044v 045h 045m 045r 4eeh 4eem 4eer 4eev 4efh 4efr,
BR-AM-Anama,0,111h 111m 111r 111v 114h 114m 5bbv 5ber,
BR-AM-Anori,0,11g 5aq 5bq,
BR-AM-Apui,0,56ah 56am 56ar 56av 56bh 56bm 56br 56bv 56eh 56em 56er 56ev 56f8z 56fh 56fm 56fr 56fv 59g 59q 5cg 5cq,
BR-AM-AtalaiaNorte,0,48g 48q 49g 49q 4ag 4bg 4bq,
BR-AM-Autazes,0,141h 141m 141v 144h 144m 144r 144v 5e8r 5e8v 5eah 5eam 5eav 5ebh 5ebm 5ebr 5ebv 5eer,
BR-AM-Barcelos,0,05q 10g 10q 11q 12g 12q 13g 13q 18g 19g,
BR-AM-Barreirinha,0,151h 151m 151r 151v 152m 152v 153h 153m 153r 153v 154h 154r 156h 156r,
BR-AM-BenjaminConstant,0,499m 49ch 49cm 49cv 49dh 49dr 49dv 49fh 49fm 49fr 49fv 4b5h 4b5m 4b5r 4b5v 4b7m 4b7v 4bdm 4e2h 4e2r 4e2v 4e8h 4e8m,
BR-AM-Beruri,0,114h 5b1r 5b2m 5b2r 5b2v 5b3h 5b3m 5b3r 5b3v 5b6r 5b8h 5b8m 5b8v 5b9h 5b9m 5b9r 5b9v 5bbm 5bch 5bcm 5bcr 5bcv 5bdr 5beh 5bem 5ber 5bev 5bfh,
BR-AM-BoaVistaRamos,0,145v 150m 150r 150v 151h 151r 152h 152m 152v 153h 153r,
BR-AM-BocaAcre,0,46g 46q 47g 47q 4cg,
BR-AM-Borba,0,5bg 5bq 5cq 5eg 5eq,
BR-AM-Caapiranga,0,110m 110r 110v 111h 111m 111r 111v 112h 112m 112v 113h 113m 113r 113v 114h 114m 114r 114v 116h,
BR-AM-Canutama,0,52q 58g 58q 5ag,
BR-AM-Carauari,0,4cq 4dq 4eg 4eq 4fg 4fq,
BR-AM-Careiro,0,115m 140h 140m 140r 140v 141h 141r 5bfh 5bfm 5bfv 5eah 5eam 5ear 5eav 5ebr,
