dust_b16h,dust_city,dust_city_label,merge_score,receptor_b16h,receptor_city
a417N,3514502,BR-SP-Duartina,217,a417N,3515657
a42fJ,3512506,BR-SP-Coroados,269,a42fJ,3517109
a43cZ,3527108,BR-SP-Lins,1000,a43cZ,3517208
a44bS,3504701,BR-SP-Balbinos,486,a44R,3538907
a44cJ,3503406,BR-SP-Arealva,648,a44V,3506003
a452T,3522901,BR-SP-Itapui,443,a452T,3507308
a461T,3540101,BR-SP-Pongai,483,a461T,3555901
a49fK,3504800,BR-SP-Balsamo,274,a49fK,3530300
a4bdT,3501806,BR-SP-AmericoCampos,688,a4bdT,3512902
a4c4S,3511102,BR-SP-Catanduva,196,a4c4S,3514924
a4cdP,3552601,BR-SP-Tabapua,232,a4cdP,3533254
a4d3N,3556909,BR-SP-VistaAlegreAlto,456,a4d3N,3539004
a50aN,3542909,BR-SP-RibeiraoBonito,284,a50aN,3519303
a50bN,3519303,BR-SP-Ibate,625,a50R,3548906
a531N,3540705,BR-SP-PortoFerreira,858,a531N,3546306
a531P,3540705,BR-SP-PortoFerreira,838,a531P,3546306
a541K,3134905,BR-MG-Jacutinga,354,a541K,3522604
a542N,3522604,BR-SP-Itapira,812,a542N,3515186
a543N,3515186,BR-SP-EspiritoSantoPinhal,913,a543N,3134905
a553N,3117900,BR-MG-Congonhal,167,a553N,3152501
a55aN,3131505,BR-MG-Ipuiuna,774,a55aN,3159209
a55bP,3131505,BR-MG-Ipuiuna,269,a55bP,3124401
a55cY,3124401,BR-MG-EspiritoSantoDourado,578,a55cY,3162302
a569T,3128709,BR-MG-Guaxupe,712,a569T,3553609
a583P,3540200,BR-SP-Pontal,288,a583P,3551702
a585Y,3513108,BR-SP-Cravinhos,271,a58M,3543402
a588N,3539509,BR-SP-Pitangueiras,375,a588N,3540200
a594Y,3510906,BR-SP-CassiaCoqueiros,352,a594Y,3547908
a5a4J,3549409,BR-SP-SaoJoaquimBarra,717,a5a4J,3534302
a5b2T,3513207,BR-SP-CristaisPaulista,383,a5b2T,3525409
a5b9P,3116407,BR-MG-Claraval,328,a5b9P,3513207
a5f1Z,3112802,BR-MG-Capitolio,420,a5fH,3151503
a607N,3528205,BR-SP-Macedonia,204,a607N,3520707
a6caY,5204250,BR-GO-CachoeiraDourada,335,a6cR,5211503
a6f8T,5218789,BR-GO-RioQuente,353,a6f8T,5200209
a700S,3100708,BR-MG-AguaComprida,665,a70H,3117306
a702Z,3100708,BR-MG-AguaComprida,432,a70H,3170107
a738Z,3149200,BR-MG-Pedrinopolis,596,a738Z,3131604
a774J,3159704,BR-MG-SantaRosaSerra,249,a77M,3162104
a78aZ,5201207,BR-GO-Anhanguera,902,a78R,5206602
a97fN,5204201,BR-GO-CachoeiraGoias,399,a97V,5216403
ac29K,5204201,BR-GO-CachoeiraGoias,424,ac2R,5216403
ac61T,5201801,BR-GO-Aragoiania,530,ac6H,5209705
ac68T,5209200,BR-GO-Guapo,698,ac6R,5221403
ac70N,5206305,BR-GO-Cristianopolis,313,ac7H,5203302
acb7T,5210604,BR-GO-Itaguaru,550,acbM,5221700
acc0N,5208806,BR-GO-Goianira,260,accH,5221403
acc6Y,5204854,BR-GO-CampoLimpoGoias,335,accM,5201108
ae12Y,5213855,BR-GO-MorroAgudoGoias,923,ae1H,5218904
ae4aZ,5220157,BR-GO-SaoLuizNorte,370,ae4R,5210901
ae64N,5220157,BR-GO-SaoLuizNorte,224,ae6M,5219456
aec4J,5200555,BR-GO-AltoHorizonte,659,aecM,5214879
af78K,5203962,BR-GO-Buritinopolis,265,af78K,5220686
af78N,5220686,BR-GO-Simolandia,397,af78N,5203962
af78Z,5203962,BR-GO-Buritinopolis,631,af7R,5218300
af79N,5203962,BR-GO-Buritinopolis,450,af79N,5206701
af7cK,5206701,BR-GO-Damianopolis,897,af7cK,5203962
b000K,3163201,BR-MG-SaoJoseAlegre,620,b000K,3151008
b003Z,3135902,BR-MG-Jesuania,547,b003Z,3117207
b007N,3152600,BR-MG-PousoAlto,409,b007N,3164902
b01cZ,3114808,BR-MG-Carvalhos,688,b01cZ,3166402
b02aT,3158300,BR-MG-SantanaVargem,1000,b02R,3111606
b039P,3130804,BR-MG-Ingai,515,b039P,3134509
b070Y,3125002,BR-MG-EwbankCamara,507,b07H,3136702
b077J,3150109,BR-MG-Piau,256,b077J,3119609
b07cS,3146602,BR-MG-Paiva,405,b07cS,3103306
b082Z,3100807,BR-MG-Aguanil,210,b08H,3107109
b085Z,3111903,BR-MG-CanaVerde,254,b085Z,3149903
b087T,3158805,BR-MG-SantanaJacare,1000,b087T,3111200
b09aJ,3110400,BR-MG-Camacho,197,b09aJ,3161205
b0bbK,3114204,BR-MG-CarmoCajuru,677,b0bR,3122306
b0c1Z,3168804,BR-MG-Tiradentes,1000,b0c1Z,3119708
b0c6P,3152709,BR-MG-Prados,293,b0c6P,3137403
b0e9Y,3108107,BR-MG-Bonfim,288,b0eR,3109006
b0ebP,3165537,BR-MG-Sarzedo,910,b0ebP,3140159
b0fcY,3102308,BR-MG-Alvinopolis,731,b0fV,3140001
b106J,3305406,BR-RJ-Sapucaia,483,b106J,3305158
b10aK,3106903,BR-MG-Bicas,439,b10aK,3149507
b119J,3301504,BR-RJ-Cordeiro,698,b11R,3301108
b120P,3162906,BR-MG-SaoJoaoNepomuceno,295,b120P,3140209
b126S,3115300,BR-MG-Cataguases,263,b12M,3138401
b129S,3151305,BR-MG-Pirauba,810,b129S,3128402
b13bY,3302304,BR-RJ-LajeMuriae,404,b13bY,3148202
b183J,3161502,BR-MG-SaoGeraldo,794,b183J,3172004
b183S,3161502,BR-MG-SaoGeraldo,205,b183S,3148301
b18cN,3124005,BR-MG-Ervalia,317,b18cN,3163805
b199T,3161403,BR-MG-SaoFranciscoGloria,608,b199T,3125952
b19fT,3138674,BR-MG-Luisburgo,727,b19fT,3112109
b1a4P,3145851,BR-MG-Oratorios,926,b1a4P,3102506
b1a7T,3160108,BR-MG-SantoAntonioGrama,241,b1a7T,3154903
b1a7Y,3170503,BR-MG-Urucania,711,b1a7Y,3160108
b1aeY,3163409,BR-MG-SaoJoseGoiabal,212,b1aV,3161007
b1b3J,3157906,BR-MG-SantaMargarida,200,b1b3J,3140902
b1bdN,3158904,BR-MG-SantanaManhuacu,716,b1bdN,3154150
b1c1Y,3201100,BR-ES-BomJesusNorte,464,b1c1Y,3200508
b1ccT,3202306,BR-ES-Guacui,320,b1cV,3200201
b1e0J,3153509,BR-MG-AltoJequitiba,210,b1e0J,3102050
b1ebP,3117405,BR-MG-ConceicaoIpanema,949,b1ebP,3116001
b1f5T,3203346,BR-ES-MarechalFloriano,415,b1fM,3201902
b1f5Z,3203346,BR-ES-MarechalFloriano,233,b1fM,3201902
b205N,3103900,BR-MG-Araujos,467,b20M,3160405
b240K,3126000,BR-MG-Florestal,821,b240K,3140704
b241Z,3118601,BR-MG-Contagem,343,b241Z,3106705
b24dT,3141108,BR-MG-Matozinhos,646,b24dT,3149309
b252S,3168309,BR-MG-TaquaracuMinas,540,b252S,3156700
b252T,3156700,BR-MG-Sabara,948,b252T,3168309
b256N,3107703,BR-MG-BomJesusAmparo,396,b256N,3105400
b25dJ,3161908,BR-MG-SaoGoncaloRioAbaixo,959,b25V,3131703
b25fN,3132800,BR-MG-ItambeMatoDentro,634,b25V,3131703
b261T,3103207,BR-MG-Aracai,194,b26H,3147402
b267P,3105004,BR-MG-Baldim,363,b267P,3135704
b304J,3121803,BR-MG-Dionisio,692,b30M,3161007
b31eN,3162609,BR-MG-SaoJoaoOriente,529,b31V,3130903
b325K,3141702,BR-MG-Mesquita,1000,b325K,3136108
b327Z,3136108,BR-MG-Joanesia,539,b327Z,3108800
b32aS,3166105,BR-MG-SenhoraPorto,248,b32aS,3122603
b348P,3131208,BR-MG-Ipanema,681,b34R,3130903
b368P,3101805,BR-MG-Alpercata,236,b368P,3169505
b368T,3101805,BR-MG-Alpercata,576,b36R,3127701
b36cP,3169505,BR-MG-Tumiritinga,907,b36V,3127305
b36dJ,3161650,BR-MG-SaoGeraldoBaixio,250,b36V,3127305
b371J,3134103,BR-MG-Itueta,428,b37H,3154309
b38aK,3125408,BR-MG-FelicioSantos,361,b38R,3156007
b38dT,3163508,BR-MG-SaoJoseJacuri,1000,b38V,3162807
b397P,3171501,BR-MG-MathiasLobato,963,b39M,3127701
b39dK,3140100,BR-MG-Marilac,615,b39dK,3144201
b3c6Z,3150000,BR-MG-Pescador,418,b3c6Z,3144904
b3cfP,3150000,BR-MG-Pescador,348,b3cV,3126802
b3d0S,3131802,BR-MG-Itabirinha,935,b3d0S,3141504
b8c2P,3138682,BR-MG-Luislandia,268,b8cH,3108602
b8caN,3138682,BR-MG-Luislandia,543,b8cR,3161106
b8ceP,3135357,BR-MG-Japonvar,336,b8ceP,3147956
b8e1T,3135357,BR-MG-Japonvar,462,b8eH,3149150
b917Y,3135456,BR-MG-JenipapoMinas,181,b91M,3116100
b925N,3136520,BR-MG-JoseGoncalvesMinas,242,b925N,3138351
b9acT,3141009,BR-MG-MatoVerde,309,b9aV,3146552
bc0aN,3157658,BR-MG-SantaHelenaMinas,958,bc0aN,3138906
bc0fT,3146750,BR-MG-Palmopolis,539,bc0V,2918456
bc21Y,3155108,BR-MG-RioPrado,217,bc21Y,3106606
bce8Y,2902252,BR-BA-Arataca,435,bceR,2905602
be3cP,2900603,BR-BA-Aiquara,409,be3V,2915205
be42Y,2916203,BR-BA-Itape,626,be42Y,2912103
be46P,2904704,BR-BA-Buerarema,997,be46P,2914802
be63N,2911501,BR-BA-Gongogi,1000,be63N,2902401
be94Y,2918308,BR-BA-Jitauna,406,be9M,2918001
bebcY,2904308,BR-BA-Brejoes,268,bebcY,2922805
bec2K,2901957,BR-BA-Apuarema,506,becH,2917607
becaN,2918209,BR-BA-Jiquirica,297,becaN,2931608
becaZ,2918209,BR-BA-Jiquirica,211,becR,2932101
beefT,2908309,BR-BA-ConceicaoAlmeida,704,beeV,2907301
bef3Z,2902302,BR-BA-Aratuipe,1000,befH,2917805
bfa8J,2933208,BR-BA-VeraCruz,950,bfaR,2927408
d131K,4301073,BR-RS-ArroioPadre,873,d13H,4314407
d16cT,4300851,BR-RS-Arambare,669,d16V,4303509
d215Z,4312104,BR-RS-Mata,431,d21M,4319802
d254Y,4308003,BR-RS-FaxinalSoturno,714,d254Y,4320651
d25fZ,4307815,BR-RS-EstrelaVelha,176,d25V,4311205
d29cZ,4316477,BR-RS-SalvadorMissoes,876,d29cZ,4305207
d2cfZ,4310413,BR-RS-Inhacora,303,d2cfZ,4305405
d2d8Z,4300208,BR-RS-Ajuricaba,851,d2d8Z,4313334
d2e4S,4300455,BR-RS-Alegria,279,d2e4S,4310405
d2e4Z,4310405,BR-RS-Independencia,398,d2e4Z,4300455
d2edZ,4306007,BR-RS-Crissiumal,630,d2edZ,4321907
d2f8Y,4321907,BR-RS-TresPassos,744,d2f8Y,4302378
d302S,4309753,BR-RS-Ibarama,278,d30H,4300109
d309P,4314068,BR-RS-PassaSete,459,d309P,4320263
d30dJ,4322533,BR-RS-ValeSol,368,d30dJ,4309571
d30dK,4309571,BR-RS-Herveiras,473,d30V,4320677
d325J,4311254,BR-RS-Lagoao,392,d32M,4320800
d33aJ,4312427,BR-RS-Mormaco,945,d33R,4320800
d340P,4302402,BR-RS-BomRetiroSul,330,d340P,4321303
d340Z,4302402,BR-RS-BomRetiroSul,688,d340Z,4308078
d341N,4320859,BR-RS-Tabai,638,d34H,4322004
d342N,4321451,BR-RS-Teutonia,300,d342N,4308078
d345K,4319505,BR-RS-SaoSebastiaoCai,301,d345K,4304689
d346P,4309555,BR-RS-Harmonia,703,d346P,4318614
d356S,4321709,BR-RS-TresCoroas,763,d356S,4309100
d357S,4309100,BR-RS-Gramado,713,d357S,4321709
d360Z,4319711,BR-RS-SaoValentimSul,681,d360Z,4306452
d390T,4323200,BR-RS-VictorGraeff,210,d390T,4307054
d394P,4323408,BR-RS-VilaMaria,972,d39M,4311809
d3a0Z,4313466,BR-RS-NovoXingu,428,d3a0Z,4318457
d3a3N,4316204,BR-RS-Rondinha,794,d3a3N,4305801
d3a6K,4305801,BR-RS-Constantina,438,d3a6K,4306924
d3acJ,4321956,BR-RS-TrindadeSul,956,d3acJ,4321857
d3b7K,4308706,BR-RS-Gaurama,448,d3b7K,4301552
d3b8Y,4310702,BR-RS-ItatibaSul,319,d3b8Y,4301701
d3bfS,4311908,BR-RS-MarcelinoRamos,267,d3bfS,4320602
d3bfT,4320602,BR-RS-SeverianoAlmeida,996,d3bV,4204301
d3c2T,4300059,BR-RS-AguaSanta,273,d3c2T,4316733
d3c9K,4316733,BR-RS-SantaCeciliaSul,598,d3c9K,4309803
d3caS,4320909,BR-RS-Tapejara,662,d3caS,4305371
d3e3Y,4312203,BR-RS-MaximilianoAlmeida,499,d3e3Y,4311700
d3ebY,4207601,BR-SC-Ipira,1000,d3ebY,4211801
d3ffN,4202875,BR-SC-Brunopolis,212,d3fV,4204806
d3ffP,4202875,BR-SC-Brunopolis,775,d3fV,4204806
d604J,4315750,BR-RS-Riozinho,430,d60M,4311775
d612T,4312443,BR-RS-MorrinhosSul,595,d612T,4321667
d632K,4208708,BR-SC-JacintoMachado,216,d632K,4218103
d634N,4201406,BR-SC-Ararangua,456,d634N,4201950
d637N,4201950,BR-SC-BalnearioArroioSilva,921,d637N,4201406
d662K,4207007,BR-SC-Icara,637,d662K,4201406
d6b9Z,4200200,BR-SC-Agrolandia,505,d6b9Z,4201802
d6baP,4200200,BR-SC-Agrolandia,191,d6baP,4202859
d6c1K,4211702,BR-SC-Orleans,375,d6c1K,4212403
d6c6K,4207205,BR-SC-Imarui,795,d6c6K,4201505
d6cdP,4212304,BR-SC-PauloLopes,1000,d6cdP,4207205
d853Y,4218756,BR-SC-Tunapolis,372,d853Y,4216255
d859J,4208401,BR-SC-Itapiranga,250,d859J,4218756
d85eT,4202081,BR-SC-Bandeirante,606,d85eT,4217204
d875N,4205357,BR-SC-FlorSertao,396,d875N,4215208
d875Y,4200804,BR-SC-Anchieta,465,d875Y,4215208
d87bS,4103156,BR-PR-BomJesusSul,270,d87bS,4124400
d87fJ,4122800,BR-PR-SalgadoFilho,461,d87fJ,4107850
d8d8K,4119004,BR-PR-PerolaOeste,314,d8d8K,4119806
d8d9N,4119004,BR-PR-PerolaOeste,607,d8d9N,4119806
d8dcS,4119806,BR-PR-Planalto,1000,d8dcS,4121406
d8dcT,4119806,BR-PR-Planalto,812,d8dcT,4121406
d8e1T,4124053,BR-PR-SantaTerezinhaItaipu,648,d8eH,4125704
d8e2Y,4110953,BR-PR-Itaipulandia,547,d8eH,4108304
d8efP,4107157,BR-PR-DiamanteOeste,666,d8efP,4128559
