selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,BR-AL-ColoniaLeopoldina,BR-2702108,2023-11-30,f
t,5,BR-AL-ColoniaLeopoldina,br;al;col,2023-11-30,f
t,5,BR-AL-ColoniaLeopoldina,br;al;colonia.leopoldina,2023-11-30,f
t,5,BR-AL-ColoniaLeopoldina,br-colonialeopoldina,2023-11-30,f
t,2,BR-AL-ColoniaLeopoldina,BR-AL-COL,2022-10-05,t
t,5,BR-AL-ColoniaLeopoldina,br;alagoas;colonia.leopoldina,2023-11-30,f
t,5,BR-AL-ColoniaLeopoldina,BR-AL-COL,2023-11-30,f
t,5,BR-AL-CoqueiroSeco,br;al;coqueiro.seco,2023-11-30,f
t,5,BR-AL-CoqueiroSeco,BR-2702207,2023-11-30,f
t,5,BR-AL-CoqueiroSeco,br;alagoas;coqueiro.seco,2023-11-30,f
t,5,BR-AL-CoqueiroSeco,br-coqueiroseco,2023-11-30,f
t,2,BR-AL-Coruripe,BR-AL-CUI,2022-10-05,t
t,5,BR-AL-Coruripe,BR-2702306,2023-11-30,f
t,5,BR-AL-Coruripe,BR-AL-CUI,2023-11-30,f
t,5,BR-AL-Coruripe,br;al;cui,2023-11-30,f
t,5,BR-AL-Coruripe,br;al;coruripe,2023-11-30,f
t,5,BR-AL-Coruripe,br;alagoas;coruripe,2023-11-30,f
t,5,BR-AL-Coruripe,br-coruripe,2023-11-30,f
t,5,BR-AL-Craibas,BR-AL-KIS,2023-11-30,f
t,5,BR-AL-Craibas,br;al;kis,2023-11-30,f
t,5,BR-AL-Craibas,br-craibas,2023-11-30,f
t,5,BR-AL-Craibas,BR-2702355,2023-11-30,f
t,5,BR-AL-Craibas,br;al;craibas,2023-11-30,f
t,2,BR-AL-Craibas,BR-AL-KIS,2022-10-05,t
t,5,BR-AL-Craibas,br;alagoas;craibas,2023-11-30,f
t,5,BR-AL-DelmiroGouveia,BR-AL-DGA,2023-11-30,f
t,5,BR-AL-DelmiroGouveia,br;alagoas;delmiro.gouveia,2023-11-30,f
t,2,BR-AL-DelmiroGouveia,BR-AL-DGA,2022-10-05,t
t,5,BR-AL-DelmiroGouveia,br;al;delmiro.gouveia,2023-11-30,f
t,5,BR-AL-DelmiroGouveia,br-delmirogouveia,2023-11-30,f
t,5,BR-AL-DelmiroGouveia,BR-2702405,2023-11-30,f
t,5,BR-AL-DelmiroGouveia,br;al;dga,2023-11-30,f
t,5,BR-AL-DoisRiachos,br;alagoas;dois.riachos,2023-11-30,f
t,2,BR-AL-DoisRiachos,BR-AL-DSH,2022-10-05,t
t,5,BR-AL-DoisRiachos,BR-AL-DSH,2023-11-30,f
t,5,BR-AL-DoisRiachos,br;al;dois.riachos,2023-11-30,f
t,5,BR-AL-DoisRiachos,BR-2702504,2023-11-30,f
t,5,BR-AL-DoisRiachos,br;al;dsh,2023-11-30,f
t,5,BR-AL-DoisRiachos,br-doisriachos,2023-11-30,f
t,5,BR-AL-EstrelaAlagoas,BR-AL-EAL,2023-11-30,f
t,5,BR-AL-EstrelaAlagoas,BR-2702553,2023-11-30,f
t,5,BR-AL-EstrelaAlagoas,br;al;eal,2023-11-30,f
t,5,BR-AL-EstrelaAlagoas,br;al;estrela.alagoas,2023-11-30,f
t,5,BR-AL-EstrelaAlagoas,br-estrelaalagoas,2023-11-30,f
t,5,BR-AL-EstrelaAlagoas,br;alagoas;estrela.alagoas,2023-11-30,f
t,2,BR-AL-EstrelaAlagoas,BR-AL-EAL,2022-10-05,t
t,5,BR-AL-FeiraGrande,br;al;feira.grande,2023-11-30,f
t,5,BR-AL-FeiraGrande,BR-2702603,2023-11-30,f
t,5,BR-AL-FeiraGrande,br-feiragrande,2023-11-30,f
t,5,BR-AL-FeiraGrande,br;alagoas;feira.grande,2023-11-30,f
t,2,BR-AL-FeiraGrande,BR-AL-FGE,2022-10-05,t
t,5,BR-AL-FeiraGrande,BR-AL-FGE,2023-11-30,f
t,5,BR-AL-FeiraGrande,br;al;fge,2023-11-30,f
t,5,BR-AL-FelizDeserto,br;al;fzo,2023-11-30,f
t,5,BR-AL-FelizDeserto,br;alagoas;feliz.deserto,2023-11-30,f
t,5,BR-AL-FelizDeserto,BR-2702702,2023-11-30,f
t,2,BR-AL-FelizDeserto,BR-AL-FZO,2022-10-05,t
t,5,BR-AL-FelizDeserto,br;al;feliz.deserto,2023-11-30,f
t,5,BR-AL-FelizDeserto,BR-AL-FZO,2023-11-30,f
t,5,BR-AL-FelizDeserto,br-felizdeserto,2023-11-30,f
t,5,BR-AL-Flexeiras,br;al;fxs,2023-11-30,f
t,5,BR-AL-Flexeiras,BR-AL-FXS,2023-11-30,f
t,2,BR-AL-Flexeiras,BR-AL-FXS,2022-10-05,t
t,5,BR-AL-Flexeiras,br;alagoas;flexeiras,2023-11-30,f
t,5,BR-AL-Flexeiras,br;al;flexeiras,2023-11-30,f
t,5,BR-AL-Flexeiras,BR-2702801,2023-11-30,f
t,5,BR-AL-Flexeiras,br-flexeiras,2023-11-30,f
t,5,BR-AL-GirauPonciano,BR-2702900,2023-11-30,f
t,5,BR-AL-GirauPonciano,br;alagoas;girau.ponciano,2023-11-30,f
t,5,BR-AL-GirauPonciano,br;al;gup,2023-11-30,f
t,5,BR-AL-GirauPonciano,br-girauponciano,2023-11-30,f
t,5,BR-AL-GirauPonciano,BR-AL-GUP,2023-11-30,f
t,5,BR-AL-GirauPonciano,br;al;girau.ponciano,2023-11-30,f
t,2,BR-AL-GirauPonciano,BR-AL-GUP,2022-10-05,t
t,5,BR-AL-Ibateguara,br;al;ibateguara,2023-11-30,f
t,5,BR-AL-Ibateguara,br-ibateguara,2023-11-30,f
t,5,BR-AL-Ibateguara,br;alagoas;ibateguara,2023-11-30,f
t,5,BR-AL-Ibateguara,br;al;ibg,2023-11-30,f
t,5,BR-AL-Ibateguara,BR-AL-IBG,2023-11-30,f
t,2,BR-AL-Ibateguara,BR-AL-IBG,2022-10-05,t
t,5,BR-AL-Ibateguara,BR-2703007,2023-11-30,f
t,5,BR-AL-Igaci,br;alagoas;igaci,2023-11-30,f
t,5,BR-AL-Igaci,br;al;igaci,2023-11-30,f
t,5,BR-AL-Igaci,BR-2703106,2023-11-30,f
