isolabel_ext,status,base_intlevel,cover,overlay
BR-AL-JoaquimGomes,1,75,822fK 822fP 822fS 822fT 822fY 822fZ 823aK 823aS 823aT 823aY 8285J 8285N 8285P 8285Y 8290J 8290K 8290N,
BR-AL-Jundia,1,75,8291J 8291K 8291N 8291P 8291S 8291T 8291Y 8291Z 8294K 8294S,
BR-AL-Junqueiro,1,75,775cN 775cP 775cY 775cZ 775dJ 775dK 775dS 775dT 775dY 775dZ 775eN 775fJ 775fK 775fN 775fP 8208S,
BR-AL-LagoaCanoa,1,75,7759T 775bJ 775bK 775bN 775bP 775bS 775bT 775bY,
BR-AL-LimoeiroAnadia,1,75,775cZ 775eJ 775eK 775eN 775eP 775eS 775eT 775eY 775eZ 775fJ 775fK 775fP 775fS 775fT 775fY 775fZ 7774J 7774N 7775J 7775N,
BR-AL-Maceio,1,75,820fY 820fZ 821aS 821aT 8225N 8225P 8225Y 8225Z 8227N 8227P 8227Y 8230J 8230K 8230P 8230S 8230T 8230Y 8230Z 8231S 8231T 8232J 8232K 8232N 8232P 8232S 8232T 8232Y 8233J,
BR-AL-MajorIsidoro,1,75,7764Z 7765S 7765T 7765Y 7765Z 7766N 7766P 7766Y 7767J 7767K 7767N 7767P 7767S 7767T 7767Y 7767Z 776dJ 776dN 7770S 7770T 7770Z 7772J 7772K 7772N,
BR-AL-Maragogi,1,75,823fS 823fT 823fY 823fZ 8294N 8294P 8294Y 8294Z 8295J 8295K 8295N 8295P 8295S 8295T 8295Y 8295Z 8296N 8297J 82c0K 82c0S 82c0T,
BR-AL-Maravilha,1,75,773fN 7768Z 7769T 776aJ 776aK 776aN 776aP 776aY 776aZ 776bJ 776bK 776bN 776bP 776bS 776bT 776bY 776bZ 776eK 776eS 776eT,
BR-AL-MarechalDeodoro,1,75,820cZ 820dT 820eJ 820eK 820eN 820eP 820eS 820eT 820eY 820eZ 820fJ 820fK 820fP 820fS 820fT 820fY 820fZ 8224J 8224N 8225J,
BR-AL-Maribondo,1,75,7775P 7775Y 7775Z 7777N 8220K 8220P 8220S 8220T 8220Y 8220Z 8221K 8222J 8222N 8222P,
BR-AL-MarVermelho,1,75,7777J 7777K 7777N 7777P 7777S 7777Y 8222J 8222K 8222S,
BR-AL-MataGrande,1,50,773V 779H 779M 779V 77cH,
BR-AL-MatrizCamaragibe,1,75,8239T 8239Z 823aT 823aY 823aZ 823bJ 823bK 823bN 823bP 823bS 823bT 823bY 823bZ 823cT 823eJ 8290J 8290N 8291J,
BR-AL-Messias,1,75,8227S 8227T 8227Y 8227Z 822dJ 822dK 822dN 822dP 822dY,
BR-AL-MinadorNegrao,1,75,7778J 7778K 7778N 7778P 7778S 7778T 7778Y 7778Z 7779J 7779K 7779S 7779T 777aN,
BR-AL-Monteiropolis,1,75,7761S 7761T 7761Y 7761Z 7763N 7763P 7764S 7764T 7766J,
BR-AL-Murici,1,75,8226T 8226Z 8227S 8227T 8229Y 822cJ 822cK 822cN 822cP 822cS 822cT 822cY 822cZ 822dJ 822dK 822dN 822dP 822dS 822dT 822dY 822dZ 822eN 822eP 822fJ 822fK,
BR-AL-NovoLino,1,75,823bT 8290K 8290N 8290P 8290S 8290Y 8290Z 8291J 8291K 8291S 8291T 8292N 8293J 8293K,
BR-AL-OlhoAguaCasado,1,75,7733P 7733Y 7733Z 7736K 7736S 7736T 7736Y 7736Z 7739N 7739P 773cJ 773cK 773cN 773cP 773cS 773cT 773cY 773cZ 773dS 773eN,
BR-AL-OlhoAguaFlores,1,75,7763K 7763N 7763P 7763S 7763Y 7763Z 7764T 7764Z 7766J 7766K 7766N 7766P 7766S 7766T,
BR-AL-OlhoAguaGrande,1,75,7752N 7752P 7752S 7752T 7752Y 7752Z 7753J 7753K 7753S 7753T,
BR-AL-Olivenca,1,75,7763Z 7764Z 7766J 7766K 7766N 7766P 7766S 7766T 7766Y 7766Z 7767K 7767S 7767T 776cJ 776cN,
BR-AL-OuroBranco,1,75,776aZ 776bS 776bT 776bY 776bZ 776eT 77c1J 77c1K 77c1N 77c1P 77c1S 77c1T 77c1Y 77c4J,
BR-AL-Palestina,1,75,774bZ 774eT 7761J 7761K 7761N 7761P 7761Y 7764J,
BR-AL-PalmeiraIndios,1,75,7773P 7773Y 7773Z 7776K 7776N 7776P 7776S 7776T 7776Y 7776Z 7777K 7777S 7777T 7779N 7779P 7779Y 7779Z 777cJ 777cK 777cN 777cP 777cS 777dJ,
BR-AL-PaoAcucar,1,50,773M 774R 774V 776H,
BR-AL-Pariconha,1,75,7739T 773aK 773aN 773aP 773aS 773aT 773aY 773aZ 773bJ 773bK 773bS 773bT 7790J 7790N 7791J,
BR-AL-Paripueira,1,75,8231T 8232N 8232P 8232Y 8233J 8233K 8233S,
BR-AL-PassoCamaragibe,1,75,8233Z 8236T 8239K 8239N 8239P 8239S 8239T 8239Y 8239Z 823aP 823aY 823bJ 823bK 823bS 823cJ 823cK 823cS,
BR-AL-PauloJacinto,1,75,7777S 7777T 7777Y 7777Z 777dJ 777dN 777dP 777dY 8228K 8228S,
BR-AL-Penedo,1,50,75fV 775H 775M,
